,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,Gender,Age,cluster
554,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Once a year,Female,35,0
555,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,Male,29,1
556,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a year,Male,55,1
557,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,Every three months,Female,50,1
558,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Once a week,Male,34,0
559,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Never,Female,59,1
560,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,4,Once a week,Male,40,1
561,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Female,39,1
562,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,0,Every three months,Female,46,1
563,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,5,Once a week,Male,25,1
564,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,Every three months,Male,48,0
565,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,Female,56,1
566,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,Once a year,Female,46,0
567,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Male,44,1
568,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-5,Once a year,Female,55,0
569,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,More than once a week,Male,63,1
570,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Every three months,Male,58,1
571,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,Male,18,1
572,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Every three months,Male,60,1
573,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-5,Once a year,Female,63,0
574,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,Female,30,1
575,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,-5,Never,Female,67,0
576,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,-5,Never,Female,65,0
577,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,61,1
578,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,Once a week,Male,52,1
579,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,Once a year,Female,23,0
580,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,Every three months,Female,41,0
581,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Every three months,Male,57,1
582,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Once a year,Female,46,1
583,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-2,Every three months,Male,36,0
584,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,-5,Never,Male,54,0
585,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Male,37,1
586,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,33,1
587,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,3,Once a week,Male,26,1
588,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,4,Once a week,Male,27,1
589,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a year,Male,34,0
590,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,2,Once a month,Male,49,1
591,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Female,34,1
592,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,3,Once a month,Female,37,1
593,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,-4,Once a year,Male,62,0
594,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Once a month,Male,54,1
595,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-3,Once a year,Female,37,0
596,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Every three months,Male,57,1
597,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,Every three months,Male,48,0
598,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,59,0
599,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,Female,52,1
600,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Every three months,Female,36,1
601,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,Every three months,Male,35,0
602,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,Male,43,0
603,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,Never,Female,60,0
604,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,Never,Female,32,0
605,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Male,62,1
606,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,4,Once a month,Male,45,1
607,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Male,45,1
608,No,No,No,No,No,No,No,No,Yes,No,Yes,-5,Once a month,Male,34,0
609,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a year,Male,55,0
610,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,-1,Every three months,Male,36,0
611,No,Yes,No,No,No,Yes,Yes,No,No,No,No,0,Once a year,Male,29,1
612,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a month,Female,64,0
613,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,Once a month,Female,66,0
614,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Once a month,Female,49,1
615,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,Female,25,1
616,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Female,58,1
617,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a year,Female,56,1
618,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,3,Every three months,Female,29,1
619,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,Once a year,Female,70,0
620,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,Every three months,Female,37,0
621,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a week,Male,38,1
622,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,Once a year,Female,59,1
623,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,Every three months,Female,20,0
624,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,Female,69,1
625,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,Female,66,1
626,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a month,Female,53,1
627,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,60,0
628,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,Female,38,1
629,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,0,Every three months,Female,34,0
630,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,2,Every three months,Female,45,1
631,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Every three months,Male,30,1
632,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Male,38,0
633,Yes,Yes,No,No,No,Yes,No,No,No,No,No,1,Once a month,Male,55,1
634,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,Once a month,Female,35,1
635,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,-3,Once a year,Female,49,0
636,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Once a year,Female,60,1
637,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,-2,Every three months,Female,48,0
638,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Once a month,Female,43,1
639,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-4,Once a year,Male,39,0
640,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a week,Male,23,1
641,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,Female,51,1
642,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Female,21,0
643,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,Female,70,1
644,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Once a year,Male,56,0
645,No,No,No,Yes,No,No,No,No,Yes,No,Yes,-1,Once a year,Female,33,0
646,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Every three months,Male,58,1
647,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,3,Once a month,Female,23,1
648,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,Female,63,1
649,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a month,Female,33,1
650,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,1,Once a year,Female,51,1
651,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,5,Once a month,Male,27,1
652,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Male,51,1
653,No,No,No,No,No,No,No,No,No,No,No,-3,Never,Male,69,0
654,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,2,Every three months,Female,59,1
655,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,Male,40,1
656,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,Female,20,1
657,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,Male,28,0
658,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,1,Once a month,Male,31,1
659,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Every three months,Female,32,1
660,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Once a week,Female,34,1
661,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-3,Once a week,Male,62,0
662,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,Every three months,Female,33,1
663,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,-1,Once a month,Female,51,0
664,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Every three months,Male,36,1
665,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,Once a month,Female,22,1
666,No,No,No,No,No,No,No,No,Yes,No,Yes,-5,Never,Female,51,0
667,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-5,Never,Male,42,0
668,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,2,Once a month,Male,24,1
669,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,Male,18,1
670,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Once a year,Female,26,0
671,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,0,Never,Male,57,1
672,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,Once a week,Male,59,1
673,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,Every three months,Female,38,1
674,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,More than once a week,Female,26,1
675,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Male,31,1
676,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,Female,27,1
677,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,Never,Male,55,0
678,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,More than once a week,Male,47,1
679,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,Never,Male,52,0
680,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Male,58,1
681,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Female,30,1
682,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,Every three months,Female,38,0
683,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Female,49,1
684,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,3,Once a month,Male,37,1
685,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,3,Once a month,Male,39,1
686,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Male,60,1
687,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,3,Once a week,Male,50,1
688,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Male,25,1
689,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,Male,64,0
690,No,No,No,Yes,No,No,No,No,Yes,No,Yes,-3,Once a year,Male,62,0
691,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Once a year,Male,37,0
692,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,2,Every three months,Male,68,1
693,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Female,24,1
694,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,1,Once a week,Male,26,1
695,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,2,Once a month,Female,49,1
696,No,Yes,No,No,No,No,No,No,Yes,No,No,-2,Once a week,Male,43,0
697,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4,Once a month,Female,53,1
698,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Male,41,1
699,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Every three months,Female,35,0
700,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Never,Male,60,0
701,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a week,Male,35,1
702,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,Every three months,Male,54,0
703,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4,Once a week,Female,23,1
704,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,0,Once a year,Female,41,1
705,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,Female,57,0
706,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Never,Female,64,0
707,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Female,59,1
708,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,38,1
709,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Every three months,Male,66,1
710,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,Female,49,1
711,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,Every three months,Female,48,1
712,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,-5,Once a year,Female,63,0
713,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Every three months,Female,64,1
714,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-1,Every three months,Female,56,0
715,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,More than once a week,Female,24,1
716,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,0,Once a year,Female,57,1
717,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,-4,Once a year,Male,59,0
718,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,Female,39,1
719,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,Female,37,1
720,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,0,Once a year,Male,65,1
721,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,-5,Every three months,Male,55,0
722,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,Once a year,Female,34,0
723,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,Once a week,Female,31,1
724,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,Once a month,Female,23,1
725,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Once a month,Female,42,1
726,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,Male,31,1
727,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a month,Female,32,1
728,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Every three months,Female,49,1
729,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,0,Once a month,Male,59,1
730,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,5,More than once a week,Female,21,1
731,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,Female,25,1
732,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a month,Male,24,1
733,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-5,Never,Male,58,0
734,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Every three months,Male,54,1
735,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Male,62,0
736,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,3,Once a month,Male,31,1
737,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Once a month,Female,21,1
738,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Once a month,Male,48,1
739,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Every three months,Female,30,1
740,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2,Once a week,Female,36,1
741,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Every three months,Female,21,1
742,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Every three months,Female,63,1
743,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,1,Once a week,Male,33,1
744,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,18,1
745,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Male,20,1
746,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a month,Female,56,1
747,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,38,1
748,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,Every three months,Male,43,1
749,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,0,Every three months,Male,18,1
750,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,3,Once a week,Male,19,1
751,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,-2,Every three months,Male,43,0
752,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,Male,50,0
753,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-3,Once a month,Female,54,0
754,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a week,Male,23,1
755,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,Every three months,Male,40,1
756,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2,Every three months,Female,52,1
757,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Every three months,Male,35,1
758,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,1,Once a month,Male,41,1
759,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,Male,60,0
760,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,66,1
761,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,Every three months,Male,45,0
762,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a month,Male,39,0
763,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,Once a year,Female,49,1
764,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a month,Female,58,1
765,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Every three months,Female,32,1
766,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,3,Once a month,Female,34,1
767,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,Once a month,Female,50,0
768,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,-5,Never,Female,58,0
769,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,Once a year,Female,34,0
770,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Every three months,Female,53,1
771,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,Male,46,1
772,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,Once a year,Female,54,1
773,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Male,29,1
774,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,Female,38,1
775,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,Every three months,Female,52,1
776,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a month,Female,32,1
777,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,Female,65,1
778,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,0,Every three months,Male,44,1
779,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,Once a month,Male,42,0
780,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a month,Female,37,1
781,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,More than once a week,Male,24,1
782,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,0,Never,Female,69,1
783,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Once a month,Male,39,1
784,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,4,Once a month,Male,55,1
785,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Every three months,Female,47,1
786,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,5,Once a month,Female,46,1
787,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,Every three months,Female,63,1
788,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,Female,64,0
789,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,3,Every three months,Female,34,1
790,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,Once a week,Male,30,0
791,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a year,Female,37,1
792,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,4,Once a month,Male,48,1
793,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,Once a month,Female,32,1
794,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,-1,Once a year,Female,24,0
795,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,4,Every three months,Male,65,1
796,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,Every three months,Male,64,0
797,No,Yes,No,No,No,Yes,No,No,No,No,No,0,Every three months,Male,64,1
798,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,Once a month,Male,50,1
799,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,Once a month,Male,55,1
800,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-2,Once a year,Male,70,0
801,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,-2,Never,Female,35,0
802,No,No,No,No,No,No,No,No,No,No,No,-5,Never,Male,24,0
803,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Once a year,Male,18,0
804,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,Female,30,1
805,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,-3,Once a year,Male,59,0
806,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,Male,64,1
807,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,Once a year,Male,62,0
808,No,Yes,No,Yes,No,No,No,No,Yes,No,No,-3,Once a year,Female,63,0
809,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,3,Once a week,Male,36,1
810,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,Every three months,Male,32,1
811,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,5,Once a week,Female,61,1
812,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,Once a week,Female,42,1
813,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a month,Female,43,1
814,No,Yes,No,Yes,No,No,No,No,No,No,No,0,Once a year,Female,44,1
815,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,Once a week,Male,19,1
816,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Every three months,Female,53,1
817,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,Every three months,Male,32,1
818,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Once a month,Female,52,1
819,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-3,Never,Male,60,0
820,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,Every three months,Female,53,0
821,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Once a year,Female,33,0
822,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,5,Once a month,Female,40,1
823,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,Once a year,Male,63,0
824,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a week,Male,47,1
825,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,Once a month,Female,25,1
826,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,Every three months,Male,38,0
827,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,Female,28,1
828,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,0,Once a year,Male,57,1
829,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a week,Female,56,1
830,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,Male,35,1
831,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,Once a year,Male,62,0
832,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,1,Every three months,Female,37,1
833,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,1,Once a week,Male,63,1
